DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2019,92.95,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2020,91.54,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2021,93.11,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2022,94.70,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2023,95.60,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2024,95.28,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT33,2025,96.28,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT34,2006,57.15,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT34,2007,61.17,,
ESTAT:ISOC_R_IACC_H(1.0),25/06/26 23:00:00,A,PC_HH,AT34,2008,67.98,,
